Sr. No.,Sector,Name Of Course,Online,Duration,Required Age,Minimum Education,Requisites,Language,Required Description,For Certification Advanced Module,Video Link To Embed,Project Under Hadp,Skill Training Course,Title Of Lectures,Link Kashmiri Video,Link Urdu Video,Link Dogri Video,Link Hindi Video,Course Language,Uploaded From,Uploaded Date
16,Automotive,Auto Service Technician,Free,02:28 hours,Any,Any,NA,English,"This self-paced online course includes interesting videos of relevant digital content, and multiple-choice practice questions. It is optimised for desktops, laptops and mobile devices, so you can learn at your convenience anytime, anywhere and on any device. By the end of this course, you will be equipped with basic knowledge about the Indian automotive sector and acquire skills to be effective as a four wheeler service technician at automobile dealerships.",https://www.skillindiadigital.gov.in/courses/detail/3dc766b6-c770-4869-b7ab-b1dbf6727152,null,null,null,null,null,null,null,null,null,,null
17,"Banking, Financial Services & Insurance (BFSI)",Financial Literacy,Free,002:00 hours,Above 18,10th Pass,NA,English," The Financial Literacy course offered by Vikramshila will help you develop a clear understanding of money matters such as savings, banking, loans, financial planning, insurance and career planning. After completion of this course you will be able to open different types of bank accounts, budget your money, plan savings for the future and apply for different government financial schemes. In this course you will not only learn how to spend and save your money but also how to grow your money.
",https://www.skillindiadigital.gov.in/courses/detail/51d5baf3-6008-43f9-a118-573dfe315ff2,null,null,null,null,null,null,null,null,null,,null
18,"Banking, Financial Services & Insurance (BFSI)",Financial Management Skills,Free,001:40 hours,Any,No Formal Education required,NA,Hindi,"The financial management is crucial for retailers to ensure sustained profitability and long-term success. The course focuses on retailers embracing  technology for streamlined transactions, data analytics, and customer relationship management. Robust financial systems facilitate real-time reporting, aiding decision-making. The course focuses on Financial management as it is crucial for retailers to ensure profitability, sustainability, and growth.",https://www.skillindiadigital.gov.in/courses/detail/e2b0dca2-85f9-44eb-a084-2e6be85b0749,null,null,null,null,null,null,null,null,null,,null
19,"Banking, Financial Services & Insurance (BFSI)",Mutual Funds Agent,Free,2:25 hours,Any,Any,NA,English,Introduction To Mutual Fund Terminologies How To Invest In Mutual Funds? Difference Between Stocks And Mutual Funds Types Of Mutual Funds How To Choose The Best Mutual Fund? (Theory) How To Choose The Best Mutual Fund? (Practical) Paytm Money App Demo,https://www.skillindiadigital.gov.in/courses/detail/fd20fa59-f46b-460a-96cf-446dce1d436b,null,null,null,null,null,null,null,null,null,,null
20,"Banking, Financial Services & Insurance (BFSI)",Branch Banking Executive,Free,2:18 hours,Any,Any,NA,English,"This course aims at building the following key competencies in the learners : - Explain the evolution of banking, macro environment, financial entities and financial regulators - Explain various terms related to banking, Negotiable Instruments Act - State the principles of banking, features of modern banking - Identify other instruments such as bills of exchange, promissory notes, demand drafts, and pay orders - Identify the targeted client segments and process their requests - Explain the various products and services, procedure for opening an account and how different departments coordinate with each other - Explain how core banking works, implications of KYC - State the do's and don'ts of cyber security during internet banking -State the implications of an accident or an unforeseen event -State the job responsibilities of the Teller, Customer Service Executive, Operations Executive and Sales Executive.",https://www.skillindiadigital.gov.in/courses/detail/3141a3ba-1c3c-46e8-a3c4-87adb60c3a1b,null,null,null,null,null,null,null,null,null,,null
21,Beauty & Wellness, Assistant Hair Dresser & Stylist - Hindi,Free,02:00 hours,16,8th Pass,1 year of relevant experience or 1 year of NTC/NAC,Hindi,"An Assistant Hair Dresser & Stylist shampoos and condition hair and scalp, blow dries hair, provides basic haircuts, colors hair, and provides Indian head massage to clients by maintaining health, safety and hygiene at workplace. They assist the hairdresser & stylist in providing other advanced hair dressing & styling services.",https://www.skillindiadigital.gov.in/courses/detail/52af9f24-2d03-48f8-b98a-c48c89bf1e70,null,null,null,null,null,null,null,null,null,,null
22,Beauty & Wellness,Assistant Beauty Therapist-Hindi,Free,03:46 hours,Any,Any,NA,Hindi,This programme is aimed at training candidates for the job of 'Assistant Beauty Therapist' in the 'Beauty' industry. The programme will help in building the following key competencies amongst the trainees: a) to assist the senior professional in performing various cosmetic procedures; b) to assist in the post procedure care of patients; c) to handle client queries,https://www.skillindiadigital.gov.in/courses/detail/388d89ee-1a38-4e6a-b67f-05e79a3546c9,null,null,null,null,null,null,null,null,null,,null
23,Beauty & Wellness,Assistant Beauty Therapist,Free,03:46 hours,Any,Any,NA,English,This programme is aimed at training candidates for the job of 'Assistant Beauty Therapist' in the 'Beauty' industry. The programme will help in building the following key competencies amongst the trainees: a) to assist the senior professional in performing various cosmetic procedures; b) to assist in the post procedure care of patients; c) to handle client queries,https://www.skillindiadigital.gov.in/courses/detail/0b9620a3-7542-4f8c-9789-376e13d9aa3d,null,null,null,null,null,null,null,null,null,,null
24,Construction,Helper Shuttering Carpenter - Hindi,Free,01:23 hours,Any,Any,NA,Hindi,"This course aims at building the following key competencies in learners : Identify the different types of shutters Explain the types of materials and terms used while shuttering State the uses of hand and power tools Explain systems of measurement and perform calculations for area and volume Describe the common shuttering activities and tools used for them Explain engineering drawings and be able to read them Erect formwork for columns, beams, foundation, slabs, suspended slabs, retaining wall and arches Dismantle and reuse formwork Explain scaffolding and its types and techniques of formwork Introduce other activities related to masonry",https://www.skillindiadigital.gov.in/courses/detail/d3ae9385-8c03-4515-99a3-5a7b00432bd0,null,null,null,null,null,null,null,null,null,,null
25,Electronics, Field Technician Computing & Peripherals,Free,01:51 hours,18+,10th pass with 2 years experience or 12th pass,2 years NAC/NTC/ Relevant experience,English,"A Field Technician -- Computing & Peripherals is responsible for visiting customer premises to install and carry out repair and maintenance of a desktop computer. The individual carries out installation and troubleshooting of computer peripherals also. The individual may also carry out installation, repair and maintenance of a laptop and relevant peripherals.",https://www.skillindiadigital.gov.in/courses/detail/abe6834b-9779-473a-ac24-ee83f8111550,null,null,null,null,null,null,null,null,null,,null
26,Construction,Helper Shuttering Carpenter,Free,1:23 hours,Any,Any,NA,English,"Helper Shuttering Carpenter needs to support Assistant Shuttering Carpenter in semi-skilled categories for carrying out the related works such as identification, handling, shifting and stacking of tools and materials. Also, preparation of job site and housekeeping. Helper shuttering carpenter expected to know basics of carpentry and carry out manual earth work and also know temporary scaffold works up to 3.6m height under close supervision as per instruction. Personal Attributes: The individual is expected to be physically fit and should be able to work across various locations in withstanding extreme conditions while working. The individual should be able to work within a team to handle various carpentry & scaffolding tools, materials, equipment and works under continuous instructions and close supervision.",https://www.skillindiadigital.gov.in/courses/detail/11f56126-79a7-4aa5-a1ca-df520a7543b6,null,null,null,null,null,null,null,null,null,,null
27,Construction,Helper Bar Bender & Steel Fixer - Hindi,Free,01:35 hours,Any,Any,NA,Hindi,"This course aims at building the following key competencies in learners : Understand key concepts required for the job role of Helper Bar Bender & Steel Fixer. Describe basic calculations required in the bar bending trade, various elements related to engineering drawings and bar bending schedules Straighten, bend and cut bars manually and by using machines. Describe the features of various types of steel bars, their handling methods and requirements for their care. Identify the various tools, equipment, and machines used by Assistant Bar Benders. List the potential hazards, safety precautions, and first-aid measures.",https://www.skillindiadigital.gov.in/courses/detail/a34e842a-ecb8-4baa-a126-c75e0513d3a1,null,null,null,null,null,null,null,null,null,,null
28,Construction,Helper Bar Bender & Steel Fixer,Free,01:35 hours,Any,Any,NA,English,"This course aims at building the following key competencies in learners : Understand key concepts required for the job role of Helper Bar Bender & Steel Fixer. Describe basic calculations required in the bar bending trade, various elements related to engineering drawings and bar bending schedules Straighten, bend and cut bars manually and by using machines. Describe the features of various types of steel bars, their handling methods and requirements for their care. Identify the various tools, equipment, and machines used by Assistant Bar Benders. List the potential hazards, safety precautions, and first-aid measures.",https://www.skillindiadigital.gov.in/courses/detail/9e03fe9d-9fa1-4a59-985a-ed0c776b7787,null,null,null,null,null,null,null,null,null,,null
29,Construction,Assistant Surveyor - Hindi,Free,5:54 hours,Any,Any,NA,Hindi,"Assistant Surveyor is responsible for providing support in various surveying activities undertaken on site before and during construction works. Key Responsibilities include assisting the lead surveyor, which includes carrying equipment, drawing sketches of buildings, recording information etc",https://www.skillindiadigital.gov.in/courses/detail/8ceb1457-aa94-4dac-9896-8cf53030a87d,null,null,null,null,null,null,null,null,null,,null
30,Construction,Assistant Surveyor,Free,5:54 hours,Any,Any,NA,English,"Assistant Surveyor is responsible for providing support in various surveying activities undertaken on site before and during construction works. Key Responsibilities include assisting the lead surveyor, which includes carrying equipment, drawing sketches of buildings, recording information etc",https://www.skillindiadigital.gov.in/courses/detail/e8092817-bcd1-491d-a2af-82f482424eb9,null,null,null,null,null,null,null,null,null,,null
31,Construction,Assistant Mason - Hindi,Free,4:00 hours,Any,Any,NA,Hindi,"The aim of this course is to train candidates for the job of 'Assistant Mason', in the 'Construction' industry. This interactive course consists of self-learning videos for the learning concepts, making learning sustainable and engaging. It is optimised for desktops, laptops and mobile devices, one can learn when and where they want in an engaging and enjoyable way. On completion of this course, a learner will be able to perform functions like preparing mortar, constructing brick walls, constructing cement walls, surface furnishing, fixing doors and windows among other basic functions related to the job role of an 'Assistant Mason'.",https://www.skillindiadigital.gov.in/courses/detail/dae33ca3-e4c8-4365-818d-01615c119577,null,null,null,null,null,null,null,null,null,,null
32,Construction,Assistant Mason,Free,4:00 hours,Any,Any,NA,English,"The aim of this course is to train candidates for the job of 'Assistant Mason', in the 'Construction' industry. This interactive course consists of self-learning videos for the learning concepts, making learning sustainable and engaging. It is optimised for desktops, laptops and mobile devices, one can learn when and where they want in an engaging and enjoyable way. On completion of this course, a learner will be able to perform functions like preparing mortar, constructing brick walls, constructing cement walls, surface furnishing, fixing doors and windows among other basic functions related to the job role of an 'Assistant Mason'.",https://www.skillindiadigital.gov.in/courses/detail/a68aeaba-bc94-4979-a664-afffba72ffd5,null,null,null,null,null,null,null,null,null,,null
33,Construction,Assistant Electrician - Hindi,Free,5:01 hours,Any,Any,NA,Hindi,"Assistant Electrician assists the electrician in electrical work for the installation, repair, and maintenance of temporary LV electrical connections in the construction sites and permanent connections at residential and commercial buildings. The individual is engaged in laying conduits for LV single phase wiring.",https://www.skillindiadigital.gov.in/courses/detail/82917030-9f34-4762-b990-89c3a9dd1cdc,null,null,null,null,null,null,null,null,null,,null
34,Construction,Assistant Electrician,Free,5:01 hours,Any,Any,NA,English,"Assistant Electrician assists the electrician in electrical work for the installation, repair, and maintenance of temporary LV electrical connections in the construction sites and permanent connections at residential and commercial buildings. The individual is engaged in laying conduits for LV single phase wiring.",https://www.skillindiadigital.gov.in/courses/detail/fa75d290-1063-4af3-8100-e4010915afbf,null,null,null,null,null,null,null,null,null,,null
35,Domestic Workers, Baby Caregiver Non Clinical (Household & Care Homes),Free,03:00 hours,18,10th Pass with 2 Years Experience or 12th Pass,Na,Hindi,"The individual at work is responsible for taking care of the physical, emotional, developmental, and social well-being of  infants and toddlers as well as providing them with a safe environment.",https://www.skillindiadigital.gov.in/courses/detail/de67ee68-1823-4946-8c74-a45189c8f2d6,null,null,null,null,null,null,null,null,null,,null
36,IT-ITeS,Digital Productivity,Free,002:00 hours,Above 18,10th Pass,NA,English,"Digital Productivity Course, offered by UNICEF and NIIT Foundation enables learners to enhance skills in using the three most important Microsoft Office Tools - MS Word, MS Excel, and MS PowerPoints. After successfully completing the source, you can create and edit various documents like resumes, reports, and presentations. You will also be able to manage data better and more efficiently through MS Excel. This course will improve your digital skills and help you with employment opportunities.",https://www.skillindiadigital.gov.in/courses/detail/049f3c59-9a62-4b5b-ab23-927bdc7bc8ed,null,null,null,null,null,null,null,null,null,,null
37,Electronics, Solar Panel Installations Technician,Free,00:20 hours,18+ ,10th Pass with 2 Years Experience or 12th Pass,2 years NAC/NTC/ Relevant experience,Hindi,"Solar Panel Installation Technician in this job checks the installation site, understands the layout requirement as per design, assesses precautionary measures to be taken, installs the solar panel as per customers requirement and ensures effective functioning of the system post installation.",https://www.skillindiadigital.gov.in/courses/detail/0582d12e-d615-4019-9583-aa8dbac3ffe5,null,null,null,null,null,null,null,null,null,,null
38,Electronics,Mobile Phone Hardware Repair Technician,Free,02:31 hours,18+,10th pass with 2 years experience or 12th pass,2 years NAC/NTC/ Relevant experience,Hindi,"The individual at work is responsible for rectifying faults in the mobile phone brought in by the customer. The individual receives the faulty mobile phone, diagnoses the problems, performs front end or hardware level repair as required, resolves software issues and ensures effective functioning before delivering back to customer.",https://www.skillindiadigital.gov.in/courses/detail/203ecbba-061f-420e-ba72-a86b67b0b714,null,null,null,null,null,null,null,null,null,,null
39,Electronics,Field Technician - Other Home Appliances,Free,02:00 hours,'18+,10th Pass with 2 Years Experience or 12th Pass,2 Years NAC/NTC/ Relevant experience,Hindi,"The individual at work is responsible for interacting with the customers for installation of the appliance and diagnosis of the problem to assess possible causes of malfunction. The individual is also responsible for rectification of the problems, replacement of faulty modules Failed parts or recommend for factory repairs.",https://www.skillindiadigital.gov.in/courses/detail/d83df2c8-93dc-422c-ac3d-c8234d1d07cb,null,null,null,null,null,null,null,null,null,,null
40,Electronics,POS Terminal Machine Installer,Free,1:30 hours,18,10th Pass,NA,English,Introduction to POS machine and its installation,https://www.skillindiadigital.gov.in/courses/detail/91b07866-8fc7-45c5-8382-dbd252c3762a,null,null,null,null,null,null,null,null,null,,null
41,Electronics,Field Technician - Computing and Peripherals - Hindi,Free,10:03 hours,Any,Any,NA,Hindi,"A Field Technician -- Computing & Peripherals is responsible for visiting customer premises to install and carry out repair and maintenance of a desktop computer. The individual carries out installation and troubleshooting of computer peripherals also. The individual may also carry out installation, repair and maintenance of a laptop and relevant peripherals.",https://www.skillindiadigital.gov.in/courses/detail/21acc9dc-62f4-47bf-b941-a6ff8a6a461b,null,null,null,null,null,null,null,null,null,,null
42,Electronics,Field Technician - Computing and Peripherals,Free,10:03 hours,Any,Any,NA,English,"""A Field Technician -- Computing & Peripherals is responsible for visiting customer premises to install and carry out repair and maintenance of a desktop computer. The individual carries out installation and troubleshooting of computer peripherals also. The individual may also carry out installation, repair and maintenance of a laptop and relevant peripherals.""",https://www.skillindiadigital.gov.in/courses/detail/1a54a158-1c5d-4c63-ae5d-20251a0106b9,null,null,null,null,null,null,null,null,null,,null
43,Electronics,Field Technician : AC - Hindi,Free,5:17 hours,Any,Any,NA,Hindi,"The individual at work installs the air conditioner and  interacts with customers to diagnose the problem and assess possible causes. Once  the problem and causes have been identified, the individual rectifies minor problems or replaces faulty modules for failed parts or recommends factory repairs  for bigger faults.",https://www.skillindiadigital.gov.in/courses/detail/9421a1fe-4c68-4a75-9b9f-141481cad7d8,null,null,null,null,null,null,null,null,null,,null
44,Electronics,Field Technician - AC,Free,05:17 hours,Any,Any,NA,English,"The individual at work installs the air conditioner and  interacts with customers to diagnose the problem and assess possible causes. Once  the problem and causes have been identified, the individual rectifies minor problems or replaces faulty modules for failed parts or recommends factory repairs  for bigger faults.",https://www.skillindiadigital.gov.in/courses/detail/32416d4c-f4c9-4499-8ed6-2f3439dd62c3,null,null,null,null,null,null,null,null,null,,null
45,"Management,Entrepreneurship and Professional Skills",Writing a Resume,Free,03:00 hours,Any,No Formal Education required,NA,English,"This course is designed specifically for you. A resume is a crucial tool in the job application process, but many students struggle to create a document that effectively showcases their skills and experiences. This course is designed to provide you with the skills and knowledge necessary to craft a professional and effective resume that will impress potential employers. ",https://www.skillindiadigital.gov.in/courses/detail/fd34057c-03e0-4156-9658-d6afb768055e,null,null,null,null,null,null,null,null,null,,null
46,"Management,Entrepreneurship and Professional Skills",Preparing For Job Interview,Free,003:00 hours,Any,No Formal Education required,NA,English,"In this course, you will learn how to be well prepared for job interviews. 

You will learn why it's important to research a company before an interview. You will learn the importance of good questions, discover various smart question types about your job, company, and team, and see their positive impact. 

You will learn how to identify these common questions, develop thoughtful responses, showcase your skills, and be prepared for unexpected questions. ",https://www.skillindiadigital.gov.in/courses/detail/0c66d895-a13c-4127-b700-de27bf3f4d1c,null,null,null,null,null,null,null,null,null,,null
47,"Management,Entrepreneurship and Professional Skills",Applying Job Online Portals,Free,003:00 hours,Any,No Formal Education required,NA,English,"This course is designed specifically for you. It focuses on teaching essential skills for applying for jobs online effectively. It is crucial for job seekers to navigate this process with confidence. Our goal is to address the specific needs of your job search journey. In this course, we will help you find and gather essential information about job positions and the respective companies. We will also address common challenges faced while using job portals and provide effective strategies.",https://www.skillindiadigital.gov.in/courses/detail/55995d8f-63cd-4769-b9f5-3af4ff3e66f6,null,null,null,null,null,null,null,null,null,,null
48,"Management,Entrepreneurship and Professional Skills",Business Skills,"Paid, Rs.3000",5:00 hours,Above 18,10th Pass,NA,English,"This program aims to empower you with essential skills, enabling you to excel as an expert problem solver, craft compelling storylines, create impactful slides, and execute engagements following agile methodologies.",https://www.skillindiadigital.gov.in/courses/detail/2215bebd-02e6-49f3-9477-6421208d77b4,null,null,null,null,null,null,null,null,null,,null
49,Food Industry Capacity and Skill Initiative,Traditional Snacks and Savoury Maker - Hindi,"Paid, Rs.100",04:00 hours,Min 18,"5th Pass, 8th Pass, 10th Pass, 12th Pass, ITI, Diploma, Graduate, B. Voc, Postgraduate",NA,Hindi,"This course encompasses National Occupational Standards (NOS) of 'Traditional Snack and Savoury' Qualification Pack approved by NCVET under National Skill Qualification Framework (NSQF). A traditional snacks and savory maker course can provide learners with a variety of outcomes. Some potential outcomes include knowledge of traditional snacks and the associated processing methods. Participants will gain a deep understanding of various traditional snacks and savory dishes from different cultures. They will learn about the ingredients, techniques, and flavors associated with these snacks.",https://www.skillindiadigital.gov.in/courses/detail/d6e14984-ea6b-4e03-b6f7-689079253cc4,null,null,null,null,null,null,null,null,null,,null
50,Food Industry Capacity and Skill Initiative,FoSTaC - Advance Retail and Distribution,"Paid, Rs.100",01:10 hours,Min 18,"5th Pass, 8th Pass, 10th Pass, 12th Pass, ITI, Diploma, Graduate, B. Voc, Postgraduate",NA,English,The Food Safety Supervisor - Retail and Distribution Advanced Level II course is designed to provide participants with an advanced level of knowledge and skills in ensuring food safety within the retail and distribution sectors. Upon completion of the course participants can expect to achieve the outcomes such as In-depth understanding of food safety principles: Participants will acquire a comprehensive understanding of food safety principles and practices specific to the retail and distribution sectors.,https://www.skillindiadigital.gov.in/courses/detail/98f276bf-baf6-4433-a6b8-faabcf78f833,null,null,null,null,null,null,null,null,null,,null
51,Food Industry Capacity and Skill Initiative,Rice Fortification,"Paid, Rs.200",00:23 hours,Min 18,12th Pass OR ITI OR Diploma OR Graduate OR B. Voc OR Postgraduate,NA,English,"This course encompasses National Occupational Standards (NOS) of 'Fortified Rice Technician' Qualification Pack approved by NCVET under National Skill Qualification Framework (NSQF).A course on rice fortification aims to educate participants about the process and benefits of fortifying rice with essential nutrients. Participants will gain a comprehensive understanding of the significance of rice fortification in addressing nutrient deficiencies, particularly in regions where rice is a staple food.The course also covers the knowledge of fortification techniques. After completing the course the learner will become familiar with national and international standards and guidelines for rice fortification, ensuring they can implement fortification programs in compliance with established protocols.",https://www.skillindiadigital.gov.in/courses/detail/95a27739-019b-4ae3-8c9d-b26d1b556eb1,null,null,null,null,null,null,null,null,null,,null
52,Food Industry Capacity and Skill Initiative,Plant Base Proteins - Hindi,"Paid, Rs.200",00:33 hours,Min 18,"12th Pass, ITI, Diploma, Graduate, B. Voc, Postgraduate",NA,Hindi,"This course encompasses National Occupational Standards (NOS) of 'Food Technologist - Plant based proteins' Qualification Pack approved by NCVET under National Skill Qualification Framework (NSQF). After completing the course the learner gets the knowledge of Plant-Based Protein Sources. Students will develop a comprehensive understanding of different plant-based protein sources, such as legumes (e.g., beans, lentils), whole grains, nuts, seeds, soy products, and various vegetables. They should be able to identify and differentiate between different types of plant proteins and understand their nutritional profiles.",https://www.skillindiadigital.gov.in/courses/detail/74a3492f-7671-4111-bb4e-6b0f69fbcdf3,null,null,null,null,null,null,null,null,null,,null
53,Food Industry Capacity and Skill Initiative,Pickle Making Technician - Hindi,"Paid, Rs.100",04:01 hours,Min 18,"5th Pass, 8th Pass, 10th Pass, 12th Pass, ITI, Diploma, Graduate, B. Voc, Postgraduate",NA,Hindi,"This course encompasses National Occupational Standards (NOS) of 'Pickle Making Technician' Qualification Pack approved by NCVET under National Skill Qualification Framework (NSQF). A Pickle Making Technician course aims to provide students with the necessary knowledge and skills to work in the pickle production industry. Upon completing the course, students can expect to achieve the outcomes such as understanding of the pickling processes, different pickling agents, and the role of ingredients such as vinegar, salt, and spices.",https://www.skillindiadigital.gov.in/courses/detail/24075142-ea6c-48f6-8526-c47b0c4e10ec,null,null,null,null,null,null,null,null,null,,null
